 El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 Schlum. VES 8.00 11.00 9.00 10.00 18.61 0.0 0.00 -56.0 18.393 6.210
 Schlum. VES 9.00 42.00 25.00 26.00 24.09 0.0 0.00 -56.0 4.578 162.371
 Schlum. VES 9.00 40.00 24.00 25.00 23.78 0.0 0.00 -56.0 27.237 863.627
 Schlum. VES 9.00 38.00 23.00 24.00 23.53 0.0 0.00 -56.0 3.764 105.551
 Schlum. VES 9.00 36.00 22.00 23.00 24.07 0.0 0.00 -56.0 17.230 409.261
 Schlum. VES 9.00 34.00 21.00 22.00 23.19 0.0 0.00 -56.0 41.555 878.019
 Schlum. VES 9.00 32.00 20.00 21.00 22.28 0.0 0.00 -56.0 5.379 100.104
 Schlum. VES 9.00 30.00 19.00 20.00 23.01 0.0 0.00 -56.0 48.994 735.756
 Schlum. VES 9.00 28.00 18.00 19.00 22.81 0.0 0.00 -56.0 4.482 55.564
 Schlum. VES 9.00 26.00 17.00 18.00 22.53 0.0 0.00 -56.0 10.573 106.128
 Schlum. VES 9.00 24.00 16.00 17.00 21.52 0.0 0.00 -56.0 9.448 77.229
 Schlum. VES 9.00 22.00 15.00 16.00 21.25 0.0 0.00 -56.0 41.212 255.879
 Schlum. VES 9.00 20.00 14.00 15.00 19.30 0.0 0.00 -56.0 10.560 51.572
 Schlum. VES 9.00 18.00 13.00 14.00 19.01 0.0 0.00 -56.0 18.292 60.471
 Schlum. VES 9.00 16.00 12.00 13.00 18.32 0.0 0.00 -56.0 7.865 16.181
 Schlum. VES 9.00 14.00 11.00 12.00 17.55 0.0 0.00 -56.0 5.881 6.317
 Schlum. VES 9.00 12.00 10.00 11.00 18.01 0.0 0.00 -56.0 19.627 6.846
 Schlum. VES 10.00 43.00 26.00 27.00 22.94 0.0 0.00 -56.0 14.865 553.747
 Schlum. VES 10.00 41.00 25.00 26.00 23.70 0.0 0.00 -56.0 1.335 42.467
 Schlum. VES 10.00 39.00 24.00 25.00 23.51 0.0 0.00 -56.0 18.908 530.651
 Schlum. VES 10.00 37.00 23.00 24.00 23.22 0.0 0.00 -56.0 29.030 714.698
 Schlum. VES 10.00 35.00 22.00 23.00 23.77 0.0 0.00 -56.0 10.796 222.550
 Schlum. VES 10.00 33.00 21.00 22.00 22.91 0.0 0.00 -56.0 21.896 396.321
 Schlum. VES 10.00 31.00 20.00 21.00 21.97 0.0 0.00 -56.0 16.753 263.552
 Schlum. VES 10.00 29.00 19.00 20.00 22.65 0.0 0.00 -56.0 14.261 177.985
 Schlum. VES 10.00 27.00 18.00 19.00 22.37 0.0 0.00 -56.0 19.328 195.423
 Schlum. VES 10.00 25.00 17.00 18.00 22.25 0.0 0.00 -56.0 35.019 276.881
 Schlum. VES 10.00 23.00 16.00 17.00 21.14 0.0 0.00 -56.0 10.122 63.162
 Schlum. VES 10.00 21.00 15.00 16.00 20.78 0.0 0.00 -56.0 20.421 92.613
 Schlum. VES 10.00 19.00 14.00 15.00 18.91 0.0 0.00 -56.0 12.786 42.475
 Schlum. VES 10.00 17.00 13.00 14.00 18.58 0.0 0.00 -56.0 11.749 23.836
 Schlum. VES 10.00 15.00 12.00 13.00 17.70 0.0 0.00 -56.0 6.307 6.717
 Schlum. VES 10.00 13.00 11.00 12.00 17.94 0.0 0.00 -56.0 18.247 6.390
 Schlum. VES 11.00 42.00 26.00 27.00 22.88 0.0 0.00 -56.0 4.686 154.437
 Schlum. VES 11.00 40.00 25.00 26.00 23.48 0.0 0.00 -56.0 3.637 102.204
 Schlum. VES 11.00 38.00 24.00 25.00 23.19 0.0 0.00 -56.0 32.972 813.038
